Number|Rarity|Title|SubTitle|Cost
42|Common|Manticore|Lesser Beast|4
43|Common|Mind Flayer|Lesser Humanoid|5
44|Common|Minotaur|Lesser Humanoid|5
45|Common|Mummy|Lesser Undead|5
46|Common|Orc|Lesser Humanoid|2
47|Common|Owlbear|Lesser Beast|5
48|Common|Pit Fiend|Lesser Fiend|4
49|Common|Purple Worm|Lesser Beast|6
50|Common|Red Dragon|Lesser Dragon|7
51|Common|Skeleton|Lesser Undead|2
52|Common|Stirge|Lesser Beast|2
53|Common|Tarrasque|Lesser Aberration|7
54|Common|Treant|Lesser Beast|5
55|Common|Troll|Lesser Humanoid|5
56|Common|Umber Hulk|Lesser Beast|6
57|Common|Unicorn|Lesser Beast|3
58|Common|Vampire|Lesser Undead|5
59|Common|Wererat|Lesser Lycanthrope|4
60|Common|Zombie|Lesser Undead|2
61|Common|Magic Helmet|Lesser Gear|2
62|Common|Magic Sword|Lesser Gear|3
63|Common|Limited Wish|Lesser Spell|6
64|Common|Prismatic Spray|Lesser Spell|4
65|Uncommon|Carrion Crawler|Greater Aberration|4
66|Uncommon|Copper Dragon|Greater Dragon|5
67|Uncommon|Dracolich|Greater Undead Dragon|7
68|Uncommon|Drow Assassin|Greater Humanoid|4
69|Uncommon|Dwarf Cleric|Greater Emerald Enclave|3
70|Uncommon|Elf Wizard|Greater Order of the Gauntlet|3
71|Uncommon|Frost Giant|Greater Elemental|6
72|Uncommon|Half-Dragon|Greater Humanoid|4
73|Uncommon|Half-Orc Fighter|Greater Lords Alliance|3
74|Uncommon|Invisible Stalker|Greater Elemental|4
75|Uncommon|Kobold|Greater Humanoid|1
76|Uncommon|Manticore|Greater Beast|4
77|Uncommon|Mind Flayer|Greater Humanoid|6
78|Uncommon|Minotaur|Greater Humanoid|5
79|Uncommon|Mummy|Greater Undead|5
80|Uncommon|Orc|Greater Humanoid|3
81|Uncommon|Owlbear|Greater Beast|5
82|Uncommon|Pit Fiend|Greater Fiend|4
83|Uncommon|Purple Worm|Greater Beast|7
84|Uncommon|Red Dragon|Greater Dragon|7
85|Uncommon|Skeleton|Greater Undead|3
86|Uncommon|Stirge|Greater Beast|3
87|Uncommon|Tarrasque|Greater Aberration|8
88|Uncommon|Treant|Greater Beast|5
89|Uncommon|Umber Hulk|Greater Beast|5
90|Uncommon|Unicorn|Greater Beast|3
91|Uncommon|Wererat|Greater Lycanthrope|4
92|Uncommon|Zombie|Greater Undead|2
93|Uncommon|Magic Helmet|Greater Gear|2
94|Uncommon|Magic Sword|Greater Gear|3
95|Uncommon|Limited Wish|Greater Spell|4
96|Uncommon|Prismatic Spray|Greater Spell|5
97|Rare|Carrion Crawler|Paragon Aberration|4
98|Rare|Copper Dragon|Paragon Dragon|6
99|Rare|Dracolich|Paragon Undead Dragon|7
100|Rare|Drow Assassin|Paragon Humanoid|4
101|Rare|Dwarf Cleric|Paragon Emerald Enclave|4
102|Rare|Elf Wizard|Paragon Order of the Gauntlet|3
103|Rare|Frost Giant|Paragon Elemental|6
104|Rare|Half-Dragon|Paragon Humanoid|5
105|Rare|Half-Orc Fighter|Paragon Lords Alliance|3
106|Rare|Invisible Stalker|Paragon Elemental|4
107|Rare|Kobold|Paragon Humanoid|2
108|Rare|Manticore|Paragon Beast|5
109|Rare|Minotaur|Paragon Humanoid|5
110|Rare|Mummy|Paragon Undead|5
111|Rare|Orc|Paragon Humanoid|3
112|Rare|Owlbear|Paragon Beast|4
113|Rare|Pit Fiend|Paragon Fiend|5
114|Rare|Purple Worm|Paragon Beast|7
115|Rare|Skeleton|Paragon Undead|3
116|Rare|Treant|Paragon Beast|5
117|Rare|Umber Hulk|Paragon Beast|5
118|Rare|Unicorn|Paragon Beast|4
119|Rare|Wererat|Paragon Lycanthrope|4
120|Rare|Zombie|Paragon Undead|3
121|Rare|Magic Helmet|Paragon Gear|3
122|Rare|Magic Sword|Paragon Gear|4
123|Rare|Limited Wish|Paragon Spell|5
124|Rare|Prismatic Spray|Paragon Spell|5
125|Super Rare|Mind Flayer|Epic Humanoid|5
126|Super Rare|Red Dragon|Epic Dragon|7
127|Super Rare|Stirge|Epic Beast|3
128|Super Rare|Tarrasque|Epic Aberration|7
